timestamp,student_text,emotion,confidence,mixed_emotions,bilstm_emotion,bilstm_confidence,bert_emotion,bert_confidence,gemini_response,model_used
2026-07-05 22:30:09,I finally understand neural networks!,Confident,0.92,['Confident'],Confident,0.74,Curious,0.53,Amazing progress! Now challenge yourself...,bert
2026-07-05 22:30:09,I am so frustrated with this bug,Frustrated,0.81,"['Frustrated', 'Curious']",Frustrated,0.81,Frustrated,0.51,Take a break and try rubber duck debugging...,bert
2026-07-07 11:16:40,The lecture made sense in class but now at home I can't reproduce anything,Bored,0.3706,"['Bored', 'Confident', 'Confused']",Confused,0.9198,Bored,0.3706,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real world applications. You're ready for the next level!,bert
2026-07-07 11:17:28,The lecture made sense in class but now at home I can't reproduce anything,Confused,0.9198,['Confused'],Confused,0.9198,Bored,0.3706,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bilstm
2026-07-07 11:18:44,I have been stuck on this bug for five hours and I still can't find it,Frustrated,0.9992,['Frustrated'],Frustrated,0.9992,Frustrated,0.6139,"Your frustration shows how much you care about understanding this. Take a short 10 minute break to reset your mind. When you return, try a completely different approach or ask someone for a fresh perspective. Every expert has been exactly where you are right now!",bilstm
2026-07-07 11:19:46,"Can the same deep learning model work for both images and text at the same time
",Curious,0.9999,['Curious'],Curious,0.9999,Curious,0.8541,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real world applications. Curious learners become the best innovators!,bilstm
2026-07-07 11:20:31,"I finally understand how gradient descent works and it makes total sense now

",Confident,0.9775,['Confident'],Confident,0.9775,Confident,0.4303,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bilstm
2026-07-07 11:21:34,"The assignments in this course are so easy they don't require any actual thinking

",Bored,0.9989,['Bored'],Bored,0.9989,Confident,0.3867,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real world applications. You're ready for the next level!,bilstm
2026-07-07 11:22:04,"I'm stuck on this problem but I'm curious if there's a smarter approach

",Curious,0.9991,['Curious'],Curious,0.9991,Confident,0.4055,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real world applications. Curious learners become the best innovators!,bilstm
2026-07-07 11:22:41,"I don't understand this but I really want to figure it out

",Confused,0.9827,['Confused'],Confused,0.9827,Bored,0.342,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bilstm
2026-07-07 11:28:32,"I don't understand this but I really want to figure it out

",Confused,0.9827,['Confused'],Confused,0.9827,Bored,0.342,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bilstm
2026-07-07 11:29:05,"I'm stuck on this problem but I'm curious if there's a smarter approach

",Curious,0.9991,['Curious'],Curious,0.9991,Confident,0.4055,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real world applications. Curious learners become the best innovators!,bilstm
2026-07-07 19:13:53,"i wonder how neural networks actually learn from data
",Curious,0.8017,['Curious'],Curious,0.9824,Curious,0.8017,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real world applications. Curious learners become the best innovators!,bert
2026-07-07 19:19:51,i am trying to study a topic but i got distracted easily ,Confused,0.5773,"['Confused', 'Confident']",Confused,0.5773,Frustrated,0.5534,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bilstm
2026-07-07 19:24:23,i am trying to understand this since morning ,Confused,0.6628,"['Confused', 'Confident']",Confused,0.6628,Bored,0.3713,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bilstm
2026-07-09 13:26:45,I don't understand this but I really want to figure it out,Confused,0.9827,['Confused'],Confused,0.9827,Bored,0.342,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bilstm
2026-07-09 13:32:17,I kind of get the concept but I'm not sure if my understanding is correct and I want to explore it more,Confident,0.6135,"['Confident', 'Curious']",Confident,0.6135,Confident,0.4658,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bilstm
2026-07-09 13:33:14,I understand the basics but there is so much more I want to learn about this topic,Confident,0.9454,['Confident'],Confident,0.9454,Confident,0.4037,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bilstm
2026-07-09 13:33:51,I get the general idea but I keep wondering if there is a better way to do this,Curious,0.9908,['Curious'],Curious,0.9908,Confident,0.3354,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real world applications. Curious learners become the best innovators!,bilstm
2026-07-10 15:47:04,I have been stuck on this bug for five hours and I still can't find what is wrong,Frustrated,0.9995,['Frustrated'],Frustrated,0.9995,Frustrated,0.5376,"Your frustration shows how much you care about understanding this. Take a short 10 minute break to reset your mind. When you return, try a completely different approach or ask someone for a fresh perspective. Every expert has been exactly where you are right now!",bilstm
2026-07-10 15:47:47,I wonder how neural networks actually learn from data without being explicitly programmed,Curious,0.9833,['Curious'],Curious,0.9833,Curious,0.8107,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real world applications. Curious learners become the best innovators!,bilstm
2026-07-10 15:48:20,I finally understand how recursion works and it all makes total sense to me now,Confident,0.9836,['Confident'],Confident,0.9836,Confident,0.3456,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bilstm
2026-07-10 15:48:48,This lecture is just repeating everything from last week with nothing new at all,Bored,0.9992,['Bored'],Bored,0.9992,Bored,0.4226,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real world applications. You're ready for the next level!,bilstm
2026-07-10 15:49:22,"I kind of get the concept but I'm not sure if my understanding is correct and I want to explore it more
",Confident,0.6135,"['Confident', 'Curious']",Confident,0.6135,Confident,0.4658,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bilstm
2026-07-12 18:25:36,i am stuck on this bug for 5 hours,Frustrated,0.58,"['Frustrated', 'Curious']",Frustrated,0.9239,Frustrated,0.58,"Your frustration shows how much you care about understanding this. Take a short 10 minute break to reset your mind. When you return, try a completely different approach or ask someone for a fresh perspective. Every expert has been exactly where you are right now!",bert
2026-07-13 12:03:37,This lecture is just repeating everything from last week with nothing new at all,Bored,0.4226,"['Bored', 'Confident', 'Confused']",Bored,0.9992,Bored,0.4226,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real world applications. You're ready for the next level!,bert
2026-07-13 12:04:05,This lecture is just repeating everything from last week with nothing new at all,Bored,0.9992,['Bored'],Bored,0.9992,Bored,0.4226,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real world applications. You're ready for the next level!,bilstm
